axis,magnitude_bin,episodes,arrival_n,arrival_median_s,arrival_p90_s,settling_n,settling_median_s,settling_p90_s,trajectory_lag_n,trajectory_lag_median_s,trajectory_lag_p90_s,overshoot_median_deg,overshoot_p90_deg
pitch,all,2843,924,0.09476159999985612,0.24032112640034028,727,0.18594636799999975,0.3004913663999105,1835,0.07,0.11,0.0,0.14588347368548563
pitch,0-2 deg,786,209,0.09428070399917488,0.1844001279998338,151,0.18099020800013932,0.24628607999966334,439,0.07,0.12,0.0,0.4988481395721428
pitch,2-5 deg,1003,238,0.1266311680005714,0.2210168832004456,192,0.2008232959999532,0.2810105856002338,687,0.07,0.13,0.0,0.19864272573555017
pitch,5-10 deg,613,227,0.08391014400000074,0.2338789888000065,191,0.18121728000005533,0.2928919040000437,444,0.075,0.1,0.0,0.05642628603368368
pitch,10-20 deg,324,188,0.0858923520005419,0.24904619519993504,160,0.2879554559999633,0.30843878399964525,221,0.07,0.09,0.0035999999999987153,0.08165266274227076
pitch,20+ deg,117,62,0.008602752000115288,0.08457262079959946,33,0.1032716800000344,0.295693260799817,44,0.075,0.08850000000000001,0.0,0.023678677512138067
yaw,all,2777,1111,0.06478489599999193,0.136734208001144,670,0.12945830399996794,0.24959324160017787,1822,0.05,0.08,0.0021001322605762596,0.3135861969536007
yaw,0-2 deg,659,317,0.0722081280000566,0.08682060800006186,136,0.1250031359999184,0.24572889599994596,425,0.045,0.1,0.030652920532226346,0.48092129315631105
yaw,2-5 deg,785,235,0.058555904000058945,0.09356416000000535,121,0.13125068800036388,0.24155289600003016,485,0.05,0.07,0.0,0.565363795810972
yaw,5-10 deg,606,256,0.05915507200031378,0.10835801600075001,204,0.1261648640003159,0.2527351807999366,410,0.05,0.07,0.05530000000000257,0.20466000000000156
yaw,10-20 deg,356,119,0.017220864000591973,0.1328031232003923,60,0.11914854400026798,0.2547761663999779,238,0.05,0.08150000000000006,0.0,0.11651835518813937
yaw,20+ deg,371,184,0.09136025600014364,0.18148249599989869,149,0.20785075200001302,0.24316666880022242,264,0.05,0.095,0.0014000000000038426,0.04572023084421912
